,T03,T04,T05,T06,T01,T07,T09,T10,T11,T02
154,9393.0,10245.0,0.0,35918.0,5209.0,5026.0,11299.0,0.0,0.0,1657
155,6992.0,10359.0,0.0,28729.0,5318.0,5129.0,11818.0,0.0,0.0,1868
156,10301.0,10794.0,0.0,30016.0,5217.0,5132.0,11480.0,0.0,0.0,1855
157,7086.0,10887.0,0.0,0.0,5322.0,5255.0,11076.0,0.0,0.0,1877
158,9774.0,10940.0,0.0,0.0,5403.0,5310.0,11250.0,0.0,0.0,1809
159,7198.0,10571.0,0.0,0.0,4517.0,5319.0,12779.0,0.0,0.0,1883
160,9004.0,10793.0,0.0,0.0,5211.0,5066.0,13379.0,0.0,0.0,1890
161,7409.0,11162.0,0.0,0.0,5406.0,5261.0,14829.0,0.0,0.0,1930
162,1906.0,10947.0,0.0,0.0,5397.0,5184.0,15474.0,0.0,0.0,1805
163,7236.0,11174.0,0.0,0.0,5362.0,4827.0,16273.0,0.0,0.0,1875
164,9127.0,11569.0,0.0,0.0,5232.0,4683.0,16329.0,0.0,0.0,1919
165,7662.0,11632.0,0.0,0.0,5311.0,5277.0,16548.0,0.0,0.0,1894
166,10206.0,11659.0,0.0,0.0,5465.0,5098.0,16267.0,0.0,0.0,1765
167,7718.0,11952.0,0.0,0.0,5246.0,5331.0,16886.0,0.0,0.0,1908
168,9910.0,11429.0,0.0,0.0,5337.0,5208.0,23898.0,0.0,0.0,1758
169,7507.0,11380.0,0.0,0.0,5212.0,5101.0,22997.0,0.0,0.0,1842
170,9024.0,11483.0,0.0,0.0,5168.0,5314.0,24921.0,0.0,0.0,1216
171,7283.0,11590.0,0.0,0.0,5381.0,5218.0,27836.0,0.0,0.0,1502
172,10252.0,11155.0,0.0,0.0,4704.0,5343.0,0.0,0.0,0.0,1590
173,7308.0,11466.0,0.0,0.0,5330.0,5233.0,0.0,0.0,0.0,1812
174,10388.0,11785.0,0.0,0.0,5351.0,5469.0,0.0,0.0,0.0,1550
175,7347.0,11723.0,0.0,0.0,5369.0,5370.0,0.0,0.0,0.0,1645
176,9949.0,11535.0,0.0,0.0,5342.0,5365.0,0.0,0.0,0.0,1789
177,7735.0,11505.0,0.0,0.0,5305.0,5163.0,0.0,0.0,0.0,1857
178,9562.0,11725.0,0.0,0.0,5546.0,5260.0,0.0,0.0,0.0,1759
179,10736.0,11992.0,0.0,0.0,5579.0,5162.0,0.0,0.0,0.0,1764
180,12348.0,12064.0,0.0,0.0,5580.0,5283.0,0.0,0.0,0.0,1806
181,12103.0,12074.0,0.0,0.0,5716.0,5399.0,0.0,0.0,0.0,1867
182,12816.0,10855.0,0.0,0.0,5604.0,5494.0,0.0,0.0,0.0,1820
183,12896.0,11847.0,0.0,0.0,5731.0,5309.0,0.0,0.0,0.0,1755
184,12833.0,10716.0,0.0,0.0,5637.0,5282.0,0.0,0.0,0.0,1789
185,12896.0,11747.0,0.0,0.0,5636.0,5407.0,0.0,0.0,0.0,1681
186,13007.0,12327.0,0.0,0.0,5571.0,5302.0,0.0,0.0,0.0,1798
187,12287.0,12102.0,0.0,0.0,5663.0,5419.0,0.0,0.0,0.0,1675
188,12538.0,12294.0,0.0,0.0,5693.0,5441.0,0.0,0.0,0.0,1638
189,11634.0,12819.0,0.0,0.0,5764.0,5301.0,0.0,0.0,0.0,1225
190,11659.0,12218.0,0.0,0.0,5814.0,5427.0,0.0,0.0,0.0,1706
191,10870.0,12500.0,0.0,0.0,5576.0,5444.0,0.0,0.0,0.0,1740
192,10722.0,12528.0,0.0,0.0,5698.0,5213.0,0.0,0.0,0.0,1752
193,11390.0,12857.0,0.0,0.0,5724.0,5236.0,0.0,0.0,0.0,1845
194,10447.0,12094.0,0.0,0.0,5736.0,5351.0,0.0,0.0,0.0,1779
195,10753.0,12432.0,0.0,0.0,5624.0,5441.0,0.0,0.0,0.0,1821
196,11447.0,12652.0,0.0,0.0,5732.0,5459.0,0.0,0.0,0.0,1823
197,11281.0,12454.0,0.0,0.0,5750.0,5240.0,0.0,0.0,0.0,1895
198,10867.0,12434.0,0.0,0.0,5893.0,5357.0,0.0,0.0,0.0,1736
199,2116.0,12809.0,0.0,0.0,4630.0,5344.0,0.0,0.0,0.0,1889
200,4206.0,12192.0,0.0,0.0,5364.0,5261.0,0.0,0.0,0.0,1775
201,11784.0,12798.0,0.0,0.0,5401.0,5273.0,0.0,0.0,0.0,1750
202,12460.0,12773.0,0.0,0.0,5089.0,5613.0,0.0,0.0,0.0,1627
203,11780.0,13202.0,0.0,0.0,5254.0,5648.0,0.0,0.0,0.0,1800
204,12127.0,12957.0,0.0,0.0,5068.0,5309.0,0.0,0.0,0.0,1885
205,12444.0,12704.0,0.0,0.0,5334.0,4932.0,0.0,0.0,0.0,1817
206,11817.0,13027.0,0.0,0.0,5597.0,5559.0,0.0,0.0,0.0,1882
207,12669.0,12982.0,0.0,0.0,5402.0,5616.0,0.0,0.0,0.0,1849
208,12159.0,12955.0,0.0,0.0,5305.0,5624.0,0.0,0.0,0.0,1687
209,9940.0,13330.0,0.0,0.0,5579.0,5772.0,0.0,0.0,0.0,1767
210,11478.0,12743.0,0.0,0.0,5599.0,5680.0,0.0,0.0,0.0,1830
211,9513.0,13026.0,0.0,0.0,5468.0,5619.0,0.0,0.0,0.0,1869
212,12135.0,12929.0,0.0,0.0,5486.0,5892.0,0.0,0.0,0.0,1793
213,11872.0,13041.0,0.0,0.0,5680.0,5784.0,0.0,0.0,0.0,1910
214,11255.0,13603.0,0.0,0.0,5749.0,5827.0,0.0,0.0,0.0,1884
215,11708.0,13893.0,0.0,0.0,5795.0,5968.0,0.0,0.0,0.0,1950
216,11376.0,13799.0,0.0,0.0,5663.0,5861.0,0.0,0.0,0.0,1958
217,11130.0,14028.0,0.0,0.0,5606.0,6365.0,0.0,0.0,0.0,1817
218,12189.0,14936.0,0.0,0.0,5486.0,6445.0,0.0,0.0,0.0,1924
219,11301.0,11682.0,0.0,0.0,5810.0,6489.0,0.0,0.0,0.0,1893
220,11534.0,14645.0,0.0,0.0,5656.0,6625.0,0.0,0.0,0.0,1927
221,11870.0,15004.0,0.0,0.0,5944.0,6761.0,0.0,0.0,0.0,1946
222,11913.0,15542.0,0.0,0.0,5847.0,6814.0,0.0,0.0,0.0,2079
223,11621.0,14889.0,0.0,0.0,6147.0,6741.0,0.0,0.0,0.0,1917
224,11437.0,14766.0,0.0,0.0,5771.0,6759.0,0.0,0.0,0.0,1913
225,11735.0,14197.0,0.0,0.0,5830.0,6943.0,0.0,0.0,0.0,1931
226,11983.0,14396.0,0.0,0.0,5938.0,7434.0,0.0,0.0,0.0,1933
227,12464.0,14349.0,0.0,0.0,6038.0,7481.0,0.0,0.0,0.0,1937
228,11865.0,14453.0,0.0,0.0,6071.0,7830.0,0.0,0.0,0.0,1928
229,11704.0,15378.0,0.0,0.0,6193.0,9622.0,0.0,0.0,0.0,1779
230,11915.0,15514.0,0.0,0.0,6083.0,8944.0,0.0,0.0,0.0,1352
231,11714.0,16382.0,0.0,0.0,6103.0,8595.0,0.0,0.0,0.0,1947
232,11855.0,15312.0,0.0,0.0,5800.0,8155.0,0.0,0.0,0.0,1853
233,12081.0,15128.0,0.0,0.0,6035.0,8278.0,0.0,0.0,0.0,1819
234,12087.0,15912.0,0.0,0.0,5869.0,8327.0,0.0,0.0,0.0,1942
235,12193.0,16154.0,0.0,0.0,5450.0,8146.0,0.0,0.0,0.0,1915
236,12650.0,16032.0,0.0,0.0,5098.0,9569.0,0.0,0.0,0.0,1955
237,12220.0,16207.0,0.0,0.0,6154.0,9565.0,0.0,0.0,0.0,1937
238,12445.0,17401.0,0.0,0.0,5506.0,9328.0,0.0,0.0,0.0,1943
239,12172.0,18003.0,0.0,0.0,5318.0,8956.0,0.0,0.0,0.0,1886
240,12650.0,18364.0,0.0,0.0,6370.0,8839.0,0.0,0.0,0.0,1971
241,13093.0,18286.0,0.0,0.0,7052.0,8820.0,0.0,0.0,0.0,1892
242,13071.0,18817.0,0.0,0.0,7159.0,8985.0,0.0,0.0,0.0,1843
243,12858.0,18420.0,0.0,0.0,7420.0,9226.0,0.0,0.0,0.0,1902
244,13310.0,18005.0,0.0,0.0,8315.0,9017.0,0.0,0.0,0.0,1857
245,12902.0,17123.0,0.0,0.0,8116.0,8361.0,0.0,0.0,0.0,1855
246,12924.0,16817.0,0.0,0.0,9944.0,7816.0,0.0,0.0,0.0,1912
247,13353.0,17124.0,0.0,0.0,9417.0,8981.0,0.0,0.0,0.0,1952
248,13144.0,17931.0,0.0,0.0,8780.0,9362.0,0.0,0.0,0.0,1977
249,11231.0,13425.0,0.0,0.0,9302.0,9406.0,0.0,0.0,0.0,1860
250,13330.0,17837.0,0.0,0.0,8862.0,9553.0,0.0,0.0,0.0,1956
251,13947.0,17569.0,0.0,0.0,9157.0,9464.0,0.0,0.0,0.0,2041
252,14461.0,18654.0,0.0,0.0,8787.0,9712.0,0.0,0.0,0.0,2006
253,13269.0,16985.0,0.0,0.0,9345.0,9466.0,0.0,0.0,0.0,2098
254,13459.0,16937.0,0.0,0.0,9253.0,9594.0,0.0,0.0,0.0,2157
255,14263.0,16902.0,0.0,0.0,9403.0,9565.0,0.0,0.0,0.0,2054
256,12622.0,18740.0,0.0,0.0,10092.0,9289.0,0.0,0.0,0.0,2152
257,13646.0,17446.0,0.0,0.0,10220.0,9716.0,0.0,0.0,0.0,2103
258,14758.0,18490.0,0.0,0.0,9583.0,9530.0,0.0,0.0,0.0,2198
259,14398.0,18620.0,0.0,0.0,10248.0,9511.0,0.0,0.0,0.0,2146
260,13642.0,18614.0,0.0,0.0,10291.0,9895.0,0.0,0.0,0.0,2212
261,12952.0,21095.0,0.0,0.0,10164.0,10037.0,0.0,0.0,0.0,2177
