,T03,T04,T05,T06
630,18804,0.0,0.0,0.0
631,17582,0.0,0.0,0.0
632,19486,0.0,0.0,0.0
633,22080,0.0,0.0,0.0
634,22898,0.0,0.0,0.0
635,26129,0.0,0.0,0.0
636,22593,0.0,0.0,0.0
637,25709,0.0,0.0,0.0
638,21546,0.0,0.0,0.0
639,20305,0.0,0.0,0.0
640,25018,0.0,0.0,0.0
641,26339,0.0,0.0,0.0
642,24023,0.0,0.0,0.0
643,24491,0.0,0.0,0.0
644,23437,0.0,0.0,0.0
645,22830,0.0,0.0,0.0
646,24180,0.0,0.0,0.0
647,22361,0.0,0.0,0.0
648,23710,0.0,0.0,0.0
649,24164,0.0,0.0,0.0
650,23336,0.0,0.0,0.0
651,22565,0.0,0.0,0.0
652,25394,0.0,0.0,0.0
653,24432,0.0,0.0,0.0
654,22694,0.0,0.0,0.0
655,24453,0.0,0.0,0.0
656,24142,0.0,0.0,0.0
657,23432,0.0,0.0,0.0
658,17664,0.0,0.0,0.0
659,17516,0.0,0.0,0.0
660,18817,0.0,0.0,0.0
661,16708,0.0,0.0,0.0
662,20917,0.0,0.0,0.0
663,20198,0.0,0.0,0.0
664,19269,0.0,0.0,0.0
665,20297,0.0,0.0,0.0
666,19772,0.0,0.0,0.0
667,18812,0.0,0.0,0.0
668,20047,0.0,0.0,0.0
669,21142,0.0,0.0,0.0
670,19486,0.0,0.0,0.0
671,20201,0.0,0.0,0.0
672,19581,0.0,0.0,0.0
673,20772,0.0,0.0,0.0
674,19816,0.0,0.0,0.0
675,21649,0.0,0.0,0.0
676,18010,0.0,0.0,0.0
677,22318,0.0,0.0,0.0
678,20355,0.0,0.0,0.0
679,19734,0.0,0.0,0.0
680,16404,0.0,0.0,0.0
681,18853,0.0,0.0,0.0
682,19338,0.0,0.0,0.0
683,18804,0.0,0.0,0.0
684,19681,0.0,0.0,0.0
685,19046,0.0,0.0,0.0
686,19470,0.0,0.0,0.0
687,18353,0.0,0.0,0.0
688,26918,0.0,0.0,0.0
689,27175,0.0,0.0,0.0
690,28444,0.0,0.0,0.0
691,32608,0.0,0.0,0.0
692,33259,0.0,0.0,0.0
693,28925,0.0,0.0,0.0
694,26798,0.0,0.0,0.0
695,32445,0.0,0.0,0.0
696,27638,0.0,0.0,0.0
697,30404,0.0,0.0,0.0
698,28554,0.0,0.0,0.0
699,22939,0.0,0.0,0.0
700,31503,0.0,0.0,0.0
701,28701,0.0,0.0,0.0
702,31416,0.0,0.0,0.0
703,30583,0.0,0.0,0.0
704,31984,0.0,0.0,0.0
705,29046,0.0,0.0,0.0
706,34854,0.0,0.0,0.0
707,32418,0.0,0.0,0.0
708,21242,0.0,0.0,0.0
709,23215,0.0,0.0,0.0
710,23422,0.0,0.0,0.0
711,26219,0.0,0.0,0.0
712,30963,0.0,0.0,0.0
713,27687,0.0,0.0,0.0
714,22550,0.0,0.0,0.0
715,23509,0.0,0.0,0.0
716,24022,0.0,0.0,0.0
717,26018,0.0,0.0,0.0
718,26657,0.0,0.0,0.0
719,25473,0.0,0.0,0.0
720,24919,0.0,0.0,0.0
721,25293,0.0,0.0,0.0
722,24871,0.0,0.0,0.0
723,25305,0.0,0.0,0.0
724,24040,0.0,0.0,0.0
725,21480,0.0,0.0,0.0
726,23264,0.0,0.0,0.0
727,23170,0.0,0.0,0.0
728,22096,0.0,0.0,0.0
729,26138,0.0,0.0,0.0
730,25461,0.0,0.0,0.0
731,21577,0.0,0.0,0.0
732,23998,0.0,0.0,0.0
733,24619,0.0,0.0,0.0
734,23082,0.0,0.0,0.0
735,25117,0.0,0.0,0.0
736,26250,0.0,0.0,0.0
737,22138,0.0,0.0,0.0
738,26592,0.0,0.0,0.0
739,25499,0.0,0.0,0.0
740,22329,0.0,0.0,0.0
741,26277,0.0,0.0,0.0
742,23457,0.0,0.0,0.0
743,26828,0.0,0.0,0.0
744,26536,0.0,0.0,0.0
745,27544,0.0,0.0,0.0
746,28517,0.0,0.0,0.0
747,26966,0.0,0.0,0.0
748,23523,0.0,0.0,0.0
749,27891,0.0,0.0,0.0
750,26299,0.0,0.0,0.0
751,25996,0.0,0.0,0.0
752,26791,0.0,0.0,0.0
753,25479,0.0,0.0,0.0
754,28959,0.0,0.0,0.0
755,29247,0.0,0.0,0.0
756,29532,0.0,0.0,0.0
757,32244,0.0,0.0,0.0
758,30239,0.0,0.0,0.0
759,30398,0.0,0.0,0.0
760,35155,0.0,0.0,0.0
761,30082,0.0,0.0,0.0
762,28018,0.0,0.0,0.0
763,27531,0.0,0.0,0.0
764,28932,0.0,0.0,0.0
765,25352,0.0,0.0,0.0
766,27080,0.0,0.0,0.0
767,28678,0.0,0.0,0.0
768,28112,0.0,0.0,0.0
769,27972,0.0,0.0,0.0
770,26299,0.0,0.0,0.0
771,24703,0.0,0.0,0.0
772,25512,0.0,0.0,0.0
773,23225,0.0,0.0,0.0
774,22555,0.0,0.0,0.0
775,23115,0.0,0.0,0.0
776,21976,0.0,0.0,0.0
777,21999,0.0,0.0,0.0
778,22214,0.0,0.0,0.0
779,22347,0.0,0.0,0.0
780,20467,0.0,0.0,0.0
781,19988,0.0,0.0,0.0
782,21460,0.0,0.0,0.0
783,21204,0.0,0.0,0.0
784,21229,0.0,0.0,0.0
785,21920,0.0,0.0,0.0
786,21408,0.0,0.0,0.0
787,19806,0.0,0.0,0.0
788,20657,0.0,0.0,0.0
789,20608,0.0,0.0,0.0
790,21061,0.0,0.0,0.0
791,22352,0.0,0.0,0.0
792,21783,0.0,0.0,0.0
793,27300,0.0,0.0,0.0
794,28156,0.0,0.0,0.0
795,27589,0.0,0.0,0.0
796,25763,0.0,0.0,0.0
797,25558,0.0,0.0,0.0
798,26946,0.0,0.0,0.0
