,T03,T04,T05,T06,T02,index
1692,0.0,0.0,0.0,0.0,1961,282
1693,0.0,0.0,0.0,0.0,1886,283
1694,0.0,0.0,0.0,0.0,1988,284
1695,0.0,0.0,0.0,0.0,1909,285
1696,0.0,0.0,0.0,0.0,1860,286
1697,0.0,0.0,0.0,0.0,1921,287
1698,0.0,0.0,0.0,0.0,1876,288
1699,0.0,0.0,0.0,0.0,1874,289
1701,0.0,0.0,0.0,0.0,1932,290
1702,0.0,0.0,0.0,0.0,1971,291
1703,0.0,0.0,0.0,0.0,1977,292
1704,0.0,0.0,0.0,0.0,1878,293
1705,0.0,0.0,0.0,0.0,1973,294
1706,0.0,0.0,0.0,0.0,2041,295
1707,0.0,0.0,0.0,0.0,2027,296
1708,0.0,0.0,0.0,0.0,2098,297
1709,0.0,0.0,0.0,0.0,2180,298
1710,0.0,0.0,0.0,0.0,2054,299
1713,0.0,0.0,0.0,0.0,2152,300
1714,0.0,0.0,0.0,0.0,2122,301
1715,0.0,0.0,0.0,0.0,2198,302
1716,0.0,0.0,0.0,0.0,2166,303
1717,0.0,0.0,0.0,0.0,2212,304
1718,0.0,0.0,0.0,0.0,2199,305
1719,0.0,0.0,0.0,0.0,2188,306
1720,0.0,0.0,0.0,0.0,2191,307
1721,0.0,0.0,0.0,0.0,2147,308
1722,0.0,0.0,0.0,0.0,2214,309
1724,0.0,0.0,0.0,0.0,2141,310
1725,0.0,0.0,0.0,0.0,2017,311
1726,0.0,0.0,0.0,0.0,2160,312
1727,0.0,0.0,0.0,0.0,2112,313
1728,0.0,0.0,0.0,0.0,1995,314
1729,0.0,0.0,0.0,0.0,1559,316
1730,0.0,0.0,0.0,0.0,2143,317
1731,0.0,0.0,0.0,0.0,2059,318
1732,0.0,0.0,0.0,0.0,2151,319
1734,0.0,0.0,0.0,0.0,2121,320
1735,0.0,0.0,0.0,0.0,2119,321
1736,0.0,0.0,0.0,0.0,2117,322
1737,0.0,0.0,0.0,0.0,2180,323
1738,0.0,0.0,0.0,0.0,2216,324
1739,0.0,0.0,0.0,0.0,2214,325
1740,0.0,0.0,0.0,0.0,2141,326
1741,0.0,0.0,0.0,0.0,2219,327
1742,0.0,0.0,0.0,0.0,2165,328
1743,0.0,0.0,0.0,0.0,2173,329
1745,0.0,0.0,0.0,0.0,2193,330
1746,0.0,0.0,0.0,0.0,2206,331
1747,0.0,0.0,0.0,0.0,2227,332
1748,0.0,0.0,0.0,0.0,2146,333
1749,0.0,0.0,0.0,0.0,2226,334
1750,0.0,0.0,0.0,0.0,2225,335
1751,0.0,0.0,0.0,0.0,2137,336
1752,0.0,0.0,0.0,0.0,2253,337
1753,0.0,0.0,0.0,0.0,2195,338
1754,0.0,0.0,0.0,0.0,2201,339
1756,0.0,0.0,0.0,0.0,2123,340
1757,0.0,0.0,0.0,0.0,2170,341
1758,0.0,0.0,0.0,0.0,2116,342
1759,0.0,0.0,0.0,0.0,2166,343
1760,0.0,0.0,0.0,0.0,2178,344
1761,0.0,0.0,0.0,0.0,2148,345
1762,0.0,0.0,0.0,0.0,2204,346
1763,0.0,0.0,0.0,0.0,2232,347
1764,0.0,0.0,0.0,0.0,2258,348
1765,0.0,0.0,0.0,0.0,2134,349
1767,0.0,0.0,0.0,0.0,2194,350
1768,0.0,0.0,0.0,0.0,2203,351
1769,0.0,0.0,0.0,0.0,2122,352
1770,0.0,0.0,0.0,0.0,2146,353
1771,0.0,0.0,0.0,0.0,2145,354
1772,0.0,0.0,0.0,0.0,2065,355
1773,0.0,0.0,0.0,0.0,2009,356
1774,0.0,0.0,0.0,0.0,1618,358
1775,0.0,0.0,0.0,0.0,2229,359
1776,0.0,0.0,0.0,0.0,2226,360
1777,0.0,0.0,0.0,0.0,2203,361
1778,0.0,0.0,0.0,0.0,2185,362
1779,0.0,0.0,0.0,0.0,2311,363
1780,0.0,0.0,0.0,0.0,2363,364
1781,0.0,0.0,0.0,0.0,2479,365
1782,0.0,0.0,0.0,0.0,2409,366
1783,0.0,0.0,0.0,0.0,2542,367
1784,0.0,0.0,0.0,0.0,2526,368
1785,0.0,0.0,0.0,0.0,2563,369
1787,0.0,0.0,0.0,0.0,2566,370
1788,0.0,0.0,0.0,0.0,2505,371
1789,0.0,0.0,0.0,0.0,2526,372
1790,0.0,0.0,0.0,0.0,2517,373
1791,0.0,0.0,0.0,0.0,2720,374
1792,0.0,0.0,0.0,0.0,2610,375
1793,0.0,0.0,0.0,0.0,2595,376
1794,0.0,0.0,0.0,0.0,2633,377
1795,0.0,0.0,0.0,0.0,2613,378
1796,0.0,0.0,0.0,0.0,2674,379
1798,0.0,0.0,0.0,0.0,2796,380
1799,0.0,0.0,0.0,0.0,2852,381
1800,0.0,0.0,0.0,0.0,2899,382
1801,0.0,0.0,0.0,0.0,3173,383
1802,0.0,0.0,0.0,0.0,3136,384
1803,0.0,0.0,0.0,0.0,3286,385
1804,0.0,0.0,0.0,0.0,3478,386
1805,0.0,0.0,0.0,0.0,3435,387
1806,0.0,0.0,0.0,0.0,3394,388
1807,0.0,0.0,0.0,0.0,3439,389
1809,0.0,0.0,0.0,0.0,3557,390
1810,0.0,0.0,0.0,0.0,3549,391
1811,0.0,0.0,0.0,0.0,3489,392
1812,0.0,0.0,0.0,0.0,3596,393
1813,0.0,0.0,0.0,0.0,3571,394
1814,0.0,0.0,0.0,0.0,3391,395
1815,0.0,0.0,0.0,0.0,3442,396
1816,0.0,0.0,0.0,0.0,3521,397
1817,0.0,0.0,0.0,0.0,3288,398
1819,0.0,0.0,0.0,0.0,2892,400
1820,0.0,0.0,0.0,0.0,3259,401
1821,0.0,0.0,0.0,0.0,3230,402
1822,0.0,0.0,0.0,0.0,3289,403
1823,0.0,0.0,0.0,0.0,3254,404
1824,0.0,0.0,0.0,0.0,3346,405
1825,0.0,0.0,0.0,0.0,3414,406
1826,0.0,0.0,0.0,0.0,3510,407
1827,0.0,0.0,0.0,0.0,3596,408
1828,0.0,0.0,0.0,0.0,3673,409
1830,0.0,0.0,0.0,0.0,3683,410
1831,0.0,0.0,0.0,0.0,3687,411
1832,0.0,0.0,0.0,0.0,3738,412
1833,0.0,0.0,0.0,0.0,3737,413
1834,0.0,0.0,0.0,0.0,3773,414
1835,0.0,0.0,0.0,0.0,3735,415
1836,0.0,0.0,0.0,0.0,3916,416
1837,0.0,0.0,0.0,0.0,3850,417
1838,0.0,0.0,0.0,0.0,4086,418
1839,0.0,0.0,0.0,0.0,4168,419
1841,0.0,0.0,0.0,0.0,4190,420
